sku,name,price,quantity,description
28904, LENCO UMED GRANADO BEBE C/ 50UN ,20.95,4,GRANADO
34017, LITOCIT 15MG 60CPR   ,159.18,0,APSEN
29041, MASC CAP ENCORPA CABELO HASKELL 300GR ,48.0,4,HASKELL
29027, MASC ROSA HIDRABENE 50 GR ,36.75,4,ANASOL
33084," MINERGI 0,375MG 30 CPS",97.82,0,SUPERA
32342, MIRTAZAPINA 45 MG 30 CPS ,107.7,0,PRATI DONADUZZI
32341, NEBACETIN BABY CREME PREVENT 30G ,20.3,0,DIVERSAS
32859, NEOSALDINA 15ML GOTAS,48.17,0,HYPERMACAS
33566, OLANZAPINA 10MG 30CPR NEO QUIMICA,60.0,0,NEO QUIMICA
31272, OLEO CAP 3X1 ALECRIM COCO RICIN 30ML,19.5,0,DIVERSAS
31831, OLEO CAP PAPO RETO LOLA  50ML,54.04,0,DIVERSAS
30850, PARACETAMOL 750MG C/10 CPS ,7.5,4,PRATI DONADUZZI
29438, PENTE PLASTICO BLACK POWER BEAUTY,3.15,49,DIVERSAS
28441, PIRANHA DE ACRILICO UN,10.0,49,DIVERSAS
29040, POM MODELADORA ENCORPA CAB HASKELL 150G,55.5,4,HASKELL
33154, PREBICTAL 75MG 60CAP,145.24,0,ADIUM
31778, PROT HIDRABENE SOLAR FACIAL FPS 50  50GR,35.25,0,ANASOL
29937, PROT SOLAR FACIAL CLAREADOR FPS 90  60GR,63.94,4,ANASOL
33059, PURAVIT ADZ GTS 10ML   MYRALIS,63.35,0,MYRALIS 
29983, ROUPA INT TENA PANTS CONFORT P/M 16UN,70.8,49,TENA
29976, SAB GLIC BEBE REFIL LAVANDA 250ML  ,24.12,49,GRANADO
33202, SAB J J BABY LIQ LAVANDA 200ML   ,27.51,0,JOHNSON
29025, SAB LIQ FACIAL HIDRABENE MIRTILO 120ML,36.75,4,ANASOL
31295, SAB LIQ LABOTRAT190ML DIA/DIA MARACUJA,21.5,0,LABORIS
30397, SAB LIQ PROTEX ERVA D FEF 200ML  ,16.25,49,PROCTER E GAMBLE
29926, SAB NIVEA LIQ INT SUAVE 250ML ,23.1,49,NIVEA
33631, SENSODYNE REPAIR   PROTECT KIT 2X 100GR,46.55,0,HEALTH LABS
31896, SERTRALINA 25MG C/30 CPS,60.0,0,ACHÉ LABORATORIOS FARMACEUTICOS S.A.
33125, SILIMALON C/4 CP CARTELA,6.0,0,DIVERSAS
33155, SUSTAGEN SENIOR BAUNILHA 370G  ,96.4,0,DIVERSAS
33892, SUSTAGEN SENIOR S/SABOR 370G ,96.4,0,NESTLE
28887, SUSTAGEN SENIOR S/SABOR 740G,183.0,49,NESTLE
30044, TADALAFILA 20MG C/4 CPS ,5.0,4,PRATI DONADUZZI
31179," TANDUO 0,5MG+0,4MG 30CAP   ",107.4,0,APSEN
31131, TRIDENT 5S BAG XFRESH ZERO 8G ,3.0,0,DIVERSAS
26042, UNHAS POSTIÇAS 6 D C/24UN,10.0,49,DIVERSAS
29388, VALERIANA 500MG  UNI ERVAS,29.93,49,NATURE
33349, VALSARTANA 320MG 30 CP EMS,81.75,0,EMS
23959, VEJA MULTIUSO 500ML ,6.1,49,DIVERSAS
29705, VITAMINA D 2000UI C/30 CAPS,30.91,49,EUROFARMA
32107, VO2 GEL X-CAFFEINE TANGERINA  UNID,6.0,0,INTEGRAL MEDICA
28916, ZEEL FR C/ 50 CPS  ,81.65,4,HEEL
29115, ZETIA 10MG C/30 CPS,120.81,4,SCHERING
33871,#ESM.RISQUE CREM.MARROMV.CL.8M,6.0,0,DIVERSAS
29799,*CL TRAMADOL  100MG C/10 CPS,99.26,4,GERMED
33704,+ IVERMECTINA 6 MG 2 CPS / GEN IVERMECTINA / ( ND ,5.2,0,DIVERSAS
32491,+ MONAX SPRAY NASAL 50MCG 60DS ,48.01,0,MOMENTA
32535,-UNHA POSTICA CART C/24UN BAILARINA CORES QUEEN FI,2.0,0,DIVERSAS
32656,.CHICLE PLUT 180GR MORDIDA ZUMBI,0.3,0,DIVERSAS
9769,100 PURA BATATA DOCE 900G,56.03,49,ATLHETICA
32781,100 WHEY REFIL 900G CHOCOLATE- MAX TITANIUM,165.0,0,MAXTITANIUM
32913,100 WHEY REFIL 900G SABOR BAUNILHA- MAX TITANIUM,166.5,0,DIVERSAS
31932,100% WHEY POTE 900G BAUNILHA,182.99,0,MAXTITANIUM
33075,20 BI 30 CAP MOMENTA,282.6,0,MOMENTA
33542,20 BI FIBRAS C 10 SACHES 5G,127.0,0,MOMENTA
33824,7896033204385 CHUP CALMING NIGHT 100% SIL TM 1 NEU,30.0,0,DIVERSAS
33825,7896033204392 CHUP CALMING NIGHT 100% SIL TM 2 NEU,30.0,0,DIVERSAS
33826,7898585290854 GEL DEN MUNDO BITA MORANGO SEM FL 10,19.5,0,DIVERSAS
33651,7898964060054 ESC DENTAL CARBON EXPERT C/2 MACIA 0,17.85,0,DIVERSAS
33983,A620F MEIA CALCA G NATURAL ESCURO PA,196.5,0,ALTIVA
33982,A620F MEIA CALCA GG NATURAL ESCURO PA,196.5,0,ALTIVA
33984,A620F MEIA CALCA P NATURAL ESCURO PA,196.5,0,ALTIVA
31622,A620F MEIA COXA GG NATURAL ESCURO PA,167.25,0,DIVERSAS
33716,AB LADYSOFT NORMAL SUA C/8 UN,5.5,0,DIVERSAS
1865,ABAIXADOR DE LINGUA ,0.2,49,DIVERSAS
20118,ABC SPRAY 10MG/ML HERTZ,35.5,4,HERTZ
32351,ABCALCIUM D3 240ML,38.5,0,DIVERSAS
25754,ABERALGINA 20ML,6.47,4,AIRELA 
32353,ABIDOR 750MG 200CP (PARACETAMOL),2.5,0,AIRELA 
32354,ABIDOR CRIANCA 60ML SUS OR,26.76,0,AIRELA 
21485,"ABLOK PLUS 25/12,5MG C/60 CP",48.89,4,BIOLAB
29665,"ABLOK PLUS 50+12,5MG C/30 CPS",47.16,4,BIOLAB
2627,ABRILAR XPE 100ML,49.77,4,DIVERSAS
2294,ABS ALWAYS BASICO SECA C/ABAS 8UN,7.5,49,PROCTER E GAMBLE
26246,ABS ALWAYS C/AB SUAVE 8UN,7.5,49,PROCTER E GAMBLE
22971,ABS ALWAYS NOT C/ABAS C/16,10.06,49,DIVERSAS
20598,ABS ALWAYS NOT SUAVE ABAS C/8,12.1,49,PROCTER E GAMBLE
25450,ABS BIGFRAL FINO GERIATRICO C/20 UN,24.95,49,TENA
19726,ABS CAREFREE C/15UN ,10.2,49,INTEGRAL MEDICA
18059,ABS CAREFREE L80P60,35.0,49,JOHNSON
22472,ABS CAREFREE TODO DIA S/PERF ,32.55,49,JOHNSON
28969,ABS CREMER P/SEIOS 12UN,16.0,49,CREMER
26611,ABS GERIAT DRY MASTER SOFT C/20 UN,29.7,49,MARDAM
31195,ABS HIG INTIMUS 2EM1 NOT SV C/ABA 8UN,16.5,0,PROCTER E GAMBLE
20450,ABS INT INTIMUS SPORT MEDIO C/8 ,23.6,49,PROCTER E GAMBLE
18851,ABS INT OB C/16,23.05,49,JOHNSON
33081,ABS INTI ULT FINO ANTIB C/ABA 28 UN,22.85,0,DIVERSAS
18403,ABS INTIMUS ABAS SECA C/32,22.3,49,DIVERSAS
26247,ABS INTIMUS C/AB NOT SUAVE C/16UN ,23.95,49,KIMBERLY-CLARK
21799,ABS INTIMUS DIA E NOITE C/14,18.2,49,KIMBERLY-CLARK
6765,ABS INTIMUS GEL INTERNO MEDIO C/8,15.2,49,DIVERSAS
24759,ABS INTIMUS GEL INTERNO MINI C/8UN,12.1,49,KIMBERLY-CLARK
5940,ABS INTIMUS GEL SUAVE ABAS C/16,17.5,49,KIMBERLY-CLARK
2593,ABS INTIMUS GEL SUAVE C/ABAS C/8,10.0,49,KIMBERLY-CLARK
2834,ABS INTIMUS GEL SUAVE S/ABAS C/8,7.65,49,KIMBERLY-CLARK
27743,ABS INTIMUS GEL ULTRAF SUAVE C/ABAS C/14 UN,12.6,49,PROCTER E GAMBLE
22973,ABS INTIMUS INT MEDIO C/16,22.57,49,DIVERSAS
20599,ABS INTIMUS INTERNO SPORT C/8,23.6,49,PROCTER E GAMBLE
819,ABS INTIMUS INTERNO SUPER C/16,21.45,49,KIMBERLY-CLARK
2854,ABS INTIMUS INTERNO SUPER C/8,15.2,49,DIVERSAS
33811,ABS INTIMUS NOT 10UN LONGO EXTRA SUAVE ABAS(E),31.0,0,DIVERSAS
30051,ABS INTIMUS NOT 30UN SECA ABAS ,40.5,49,PROCTER E GAMBLE
25730,ABS INTIMUS NOT SUAVE C/ABAS 30UN,32.0,49,DIVERSAS
25176,ABS INTIMUS TRIP PROT SUAVE C/8UN,6.25,49,KIMBERLY-CLARK
22975,ABS INTIMUS TRIPLA C/ABAS C/16,17.5,49,DIVERSAS
25731,ABS INTIMUS TRIPLA PROT SUAVE COM 32UN,22.3,49,DIVERSAS
18485,ABS INTIMUS ULTRA FINO DIA/NOITE C/28,33.0,49,KIMBERLY-CLARK
30694,ABS MAXI GERIATRICO C/20 UN,26.59,49,DIVERSAS
32475,ABS MODESS 08UN SUAVE ABAS,5.0,0,UPSIDE 
32476,ABS MODESS SUAVE C/ABAS COM 16 UN,8.0,0,UPSIDE 
30695,ABS NATURALMENTE 08UN ABAS C/8 UN,3.0,49,DIVERSAS
7510,ABS OB M C/10 MEDIO,14.55,49,DIVERSAS
24529,ABS OB ORIGINAL C/10 UN SUPER,14.55,49,JOHNSON
25938,ABS P/ SEIOS COTTONBABY C/12 TRAD UN,15.3,49,DIVERSAS
30927,ABS PARA SEIOS C/30 UNDS,31.9,49,CREMER
30305,ABS PLENITUD FEMME ULTRA C 8 UN,18.0,49,PLENITUDE
32455,ABS PROT DIARIO SYM COM PERFUME C/80,28.05,0,DIVERSAS
32456,ABS PROT DIARIO SYM SEM PERFUME C/80,28.05,0,DIVERSAS
26612,ABS REFIL FRALDA CALCA LIFREE C/20 UN,30.75,49,MARDAM
27589,ABS SEIOS AMAMENTE C/12 UN,9.3,49,DIVERSAS
26703,ABS SEIOS AMAMENTE C/30 UN,20.16,49,DIVERSAS
30455,ABS SEIOS POLYFARMA C/ 12 UN ,11.5,49,DIVERSAS
4320,ABS SEMPRE LIVRE ADAPT ABAS L16P14,12.9,49,DIVERSAS
19172,ABS SEMPRE LIVRE ADAPT C/ ABAS C/8,6.9,49,DIVERSAS
6675,ABS SEMPRE LIVRE ADAPT C/ABAS L8P7,5.2,49,DIVERSAS
21859,ABS SEMPRE LIVRE ADAPT PLUS NOT C/8,13.0,49,FLORA PRODUTOS DE HIGIENE
20601,ABS SEMPRE LIVRE ADAPT PLUS SUAVE C/16,17.55,49,PROCTER E GAMBLE
20508,ABS SEMPRE LIVRE ADAPT PLUS SUAVE C/32,38.7,49,KIMBERLY-CLARK
25187,ABS SEMPRE LIVRE ADAPT SUAVE ABAS C/32UN,20.35,49,PROCTER E GAMBLE
31467,ABS SYM   C/AB SUAVE 30UN,16.0,0,DIVERSAS
31935,ABS SYM 8UN C/AB SECA,8.5,0,PROCTER E GAMBLE
28504,ABS SYM C/ABAS C/30 COB SECA,14.5,49,SANTHER
25060,ABS SYM C/ABAS SUAVE 30UN NOITE/DIA,24.1,49,SANTHER
28710,ABS SYM C/ABAS SUAVE ROXO C/8 UN,5.0,49,PROCTER E GAMBLE
27744,ABS SYM COB SUAVE C/ABAS C/30 UN,15.7,49,SANTHER
31468,ABS SYM COB SUAVE NORMAL C/ABAS ,5.0,0,DIVERSAS
32113,ABS SYM NOTURNO 30UN LV+ PG- C/ABAS,23.8,0,PROCTER E GAMBLE
32477,ABS SYM NOTURNO SECA C/ ABAS C/8,3.5,0,UPSIDE 
26955,ABS SYM PREMIUM C/ABAS SECA 8UN,5.7,49,PROCTER E GAMBLE
32454,ABS SYM PROT DIARIO 15UN S/PERF,7.35,0,DIVERSAS
6888,ABS SYM PROT DIARIO C/15 ,6.9,49,SANTHER
20757,ABS SYM PROT DIARIO C/40,14.5,49,SANTHER
20602,ABS SYM PROT DIARIO SEM PERFUME C/15,6.75,49,PROCTER E GAMBLE
24760,ABS SYM S/ABAS C/8UN SUAVE ODOR BLOCK,4.6,49,KIMBERLY-CLARK
1601,ABS SYM SUAVE ABAS L16P14,8.75,49,DIVERSAS
2629,ABS SYM SUAVE C/ABAS C/8,4.65,49,DIVERSAS
4944,ABS SYM SUAVE NOT C/ABAS,7.2,49,DIVERSAS
31466,ABS SYM SUAVE ROXO C/ ABAS C/16,8.9,0,PROCTER E GAMBLE
1424,ABS SYM SUAVE/SECA C/ABAS TRANSP L16P14,13.05,49,DIVERSAS
22060,ABS SYM TOTAL PROTECT SECA C/ABAS LV16P14,8.75,49,UNILEVER
3693,AC FUSIDICO+BETAMETASONA CR 15G,63.3,4,NOVA QUIMICA
32808,ACAFRAO CURCUMA LOG L 500MG C/60 CAPS,20.0,0,NATUREMEL
33404,ACCU CHEK ACTIVE KIT 10 TIRAS,116.9,0,DIVERSAS
28369,ACCU FINE PEN 32 GR 4MM C/100 UN,1.0,49,ROCHE
22056,ACCU-CHECK ACTIVE ECONOMY C/50 TIRAS,75.0,49,DIVERSAS
8173,ACCU-CHEK ATIVE C/10 TIRAS,119.8,49,ROCHE
19914,ACCU-CHEK PERFORMA C/50 TIRAS ,72.85,49,ROCHE
4788,ACEBROFILINA 120ML GEOLAB,34.9,4,GEOLAB
7316,ACEBROFILINA 50MG 5ML AD 120ML CIMED,26.25,4,CIMED
9162,ACEBROFILINA 5MG/ML PED 120ML GEOLAB,24.6,4,GEOLAB
26348,ACEBROFILINA XPE 5 MG/ML 120ML ,22.81,4,GLOBO
27485,ACEBROFILINA XPE 50 MG/5ML 120 ML ,21.5,4,GLOBO
1917,ACECLOFENACO 100MG C/12CP RANBAXY,14.75,4,RANBAXY
19220,ACECLOFENACO 100MG C/12CP VITAMEDIC,15.0,4,VITAMED
1958,ACERATUN GTS 10ML,23.88,4,DELTA
5743,ACET DE HIDROCORTISONA CR 10MG 20G,15.6,4,UNIAO QUIMICA
8807,ACET DE HIDROCORTISONA CR 15G,14.69,4,TEUTO
374,ACETILCISTEINA 20MG/ML GEOLAB,22.85,4,GEOLAB
32680,ACETILCISTEINA 20MG/ML XPE,18.75,0,UNIAO QUIMICA
3811,ACETILCISTEINA 20MG/ML XPE 120ML EMS,25.73,4,EMS
6724,ACETILCISTEINA 40MG/ML  XPE 120ML GEOL,27.9,4,GEOLAB
4105,ACETILCISTEINA 40MG/ML XPE 120ML EMS,27.2,4,EMS
31226,ACETILCISTEINA 600MG 16CPS KATIGUA,39.75,0,DIVERSAS
22488,ACETILCISTEINA 600MG ENV GEOLAB,2.87,4,GEOLAB
9307,ACETILCISTEINA 600MG ENV GERMED,2.7,4,GERMED
27870,ACETILCISTEINA XPE 20 MG/ML 120 ML,34.75,4,LEGRAND
2238,ACETONA 100ML FARMAX,4.95,4,FARMAX
2721,ACETONA 500ML FARMAX,18.5,4,FARMAX
8087,ACETONA IDEAL 100ML,7.6,4,IDEAL
22071,ACETONA SILICONE IDEAL 500ML ,29.35,4,IDEAL
7031,ACETONIDA TRIANCINOLONA POM 10G EMS,10.2,4,EMS
5757,ACETONIDA TRIANCINOLONA POM 10G GERMED,10.0,4,GERMED
31057,ACEVITON 1G TB X 10 COMP EFERV,13.0,49,CIMED
275,ACHEFLAN CR 60G,114.61,4,SERVIMED COMERCIAL LTDA
19814,ACICLOVIR 200MG C/25CP PHARLAB,20.5,4,PHARLAB
24088,ACICLOVIR 200MG C/30CP,17.89,4,GEOLAB
27052,ACICLOVIR 400 MG C/30 CPS,81.5,4,LEGRAND
25381,ACICLOVIR 400MG C/30 CPS,93.0,4,EMS
21066,ACICLOVIR 50MG/G CR 10G NEO QUIM,12.0,4,NEO QUIMICA
7552,ACICLOVIR CR 10G PRATI,9.47,4,PRATI DONADUZZI
9322,ACICLOVIR CR 10G TEUTO,9.5,4,NEO QUIMICA
28979,ACICLOVIR CREME BISN 10G ,12.0,4,LEGRAND
32384,ACIDIFICANTE CAPILAR 250 - VERDE BRASIL,40.5,0,DIVERSAS
33035,ACIDIO SALICILICO (VERRUGAN) C/ 20G PHARMA,27.25,0,PHARMA
29998,ACIDO FOLICO AFOLIMAX GTS 30 ML ,30.13,4,AIRELA 
33668,ACIDO GLICOLICO,63.8,0,PRINCIPIA
33150,ACIDO HIALURONICO + COLAGENO TIPO II 500MG C/60,24.0,0,NATUREMEL
31719,ACIDO HIALURONICO 30 CAPSULAS 50MG,54.55,0,HEALTH LABS
33662,ACIDO MANDELICO,63.8,0,PRINCIPIA
7503,ACIDO MEFENAMICO 500MG C/12CP LEGRAND,14.35,4,LEGRAND
7410,ACIDO TRANEXAMICO 250MG C/12CP EMS,52.34,4,EMS
6623,ACIDO TRANEXAMICO 250MG C/12CP LEGRAND,52.34,4,LEGRAND
33660,ACIDOS HIALURONICOS,58.4,0,PRINCIPIA
29506,ACNELESS ANTIACNE 80 GR,15.0,49,EMIS MINAS DIST. DE PROD. FARM. LTDA
5434,ACNEZIL GEL 20G,25.5,4,CIMED
28552,ACNEZIL GEL SECATIVO 10G,23.6,4,CIMED
33386,ACNEZIL SECATIVO BIFAS YUZI SOL FR 20ML,25.3,0,CIMED
33021,ACOG 15MG C/30 CP TORRENT,113.08,0,TORRENT
30997,ACOG 20MG C/30 CPS,113.08,4,TORRENT
28498,ACTINE CONTROL GEL DE LIMPEZA 240 G,69.3,49,DARROW
26813,ACTINE GEL DE LIMPEZA 140 GR,50.0,49,DARROW
26814,ACTINE GEL DE LIMPEZA 400GR,105.6,49,DARROW
30065,ACTINE LOCAO ADSTRINGENTE 190ML,84.0,4,DARROW
33788,ACTINE PROT SOLAR COR FPS30 40G,85.15,0,DARROW
20810,ACTINE PROT SOLAR FPS60 40G,84.25,4,DIVERSAS
33789,ACTINE PROT SOLAR TOM 2 F50 40GR,102.8,0,DARROW
9468,ACULAR LS COL 5ML,71.72,4,ALLERGAN
26678,AD-TIL GTS 20ML,22.95,4,TAKEDA PHARMA
33862,ADAPTADOR SERINGA P/ LAVAGEM NASAL HELLO KITTY MUN,19.5,0,DIVERSAS
18928,ADAPTIS 1% 10ML,80.96,4,LEGRAND
9831,ADAPTIS FRESH 4% 10ML,85.95,4,LEGRAND
23613,ADAPTIS SOL OFT 10ML,29.85,4,DIVERSAS
27966,ADDERA CAL 1000 UI C/30 CPS,104.58,4,MANTECORP
25317,ADDERA CAL 1000UI FRS C/30 CPS,78.9,4,MANTECORP
18331,ADDERA D3 7000UI C/10CPS,80.36,4,DIVERSAS
21718,ADDERA D3 7000UI C/30CPS GEL,173.17,4,DIVERSAS
18473,ADDERA D3 7000UI C/4CPS,43.95,4,MANTECORP
34010,ADDERA+IMUNIDADE FR C 30CP ,101.31,0,ACHÉ LABORATORIOS FARMACEUTICOS S.A.
31868,ADEFORTE SOL 1 AMP 3ML,28.44,0,GROSS
33922,ADEFORTE TURBO AMPOLA C/3ML,44.95,0,GROSS
24945,ADEMIL SUPLEM DE VIT A E D 20 ML,18.95,49,ARTE NATIVA
33493,ADESIVO CURATIVO PARA ACNE RICCA,27.0,0,DIVERSAS
1950,ADESIVO P/UNHA ,3.5,0,DIVERSAS
33490,ADESIVO PROTECAO MAMILOS RICCA  PARES,20.88,0,PACALUZ COMERCIO E LOGISTICA LTDA
26407,ADOC ADOCYL LIQ 100ML,5.5,49,DIVERSAS
1481,ADOC ADOCYL STEVIA LIQ 80ML,10.15,49,DIVERSAS
19954,ADOC FINN GTS STEVIA  65ML,14.35,49,DIVERSAS
19242,ADOC FINN SUCRALOSE 65ML,12.5,49,DIVERSAS
531,ADOC LINEA PO  C/50 ENV,20.11,49,DIVERSAS
18030,ADOC NATURE STEVIA 60ML,15.5,49,NATUREMEL
20129,ADOC NATURE XYLITOL 60ML,18.0,49,NATURE
1190,ADOC ZERO CAL ASPARTAME 100ML,32.6,49,DIVERSAS
26410,ADOC ZERO CAL LIQ 200ML CICLAMAT,16.8,49,DIVERSAS
32842,ADOCANTE LINEA LIQ 060ML STEVIA 2UN(E),10.0,0,DIVERSAS
32173,ADOCANTE ZERO-CAL 100ML,9.0,0,DIVERSAS
3515,ADOLESS C/28CP,48.3,4,FQM
24863,ADVANTAN 1MG/G CREM DERM 15G,87.52,4,BAYER
33328,ADVIL 12H 600 MG C/ 12CPR   ,40.31,0,DIVERSAS
32601,ADVIL EXT ALIV 400 C/3,11.0,0,PFIZER
19139,ADVIL EXTRA ALIVIO 400MG C/8CPS,25.42,4,PFIZER
29909,"ADVIPRO 11,6MG/G GEL 60 GR",47.9,4,GSK
6584,AERODINI SPRAY 100MG 200DOSES,39.0,4,TEUTO
951,AEROLIN SPRAY 200DOSES ,26.9,4,GLAXOSMITH
32209,AFECSO CLOR. DE FEXOFENADINA  6MG/ML  FR 60,34.55,0,VITAMEDIC IND. FARMACEUTICA LTDA
29764,AFTANAX 100MG/ML 25ML AIR,34.71,4,AIRELA 
6315,AFTLIV SPRAY 25ML,30.65,4,NATULAB
25472,AGIL C 45MG C/25 PAST DE GOMA,15.05,49,PHARLAB
33950,AGIL C KIDS 30MG 25PAST MORANGO VITAMINA C,17.65,0,PHARLAB
33949,AGIL C KIDS 30MG 25PAST UVA VITAMINA C,17.65,0,PHARLAB
21632,AGIL C KIDS 30MG C/25 GOMAS,17.65,49,PHARLAB
27676,AGUA BORICADA 100 ML,2.5,4,UNIPHAR 
2213,AGUA BORICADA 100ML,2.96,4,FARMAX
29628,AGUA COCO PURO COCO 1L,10.15,49,DIVERSAS
26566,AGUA DE COCO DUCOCO 1L,13.0,49,DIVERSAS
558,AGUA INGLESA 500ML,45.0,4,CATARINENSE
19193,AGUA MICELAR 200ML LOREAL,32.0,49,LOREAL
19525,AGUA MICELAR 200ML LOREAL,41.75,49,LOREAL
29148,AGUA MICELAR C/AC HIAL DERMACHEM 250ML ,14.6,49,DIVERSAS
18980,AGUA MICELAR CICATRICURE,27.27,49,DIVERSAS
26145,AGUA MICELAR NIVEA 7EM1 200ML,32.0,49,NIVEA
33430,AGUA OXIG FARMAX 20 VOL ,2.9,0,FARMAX
29643,AGUA OXIGENADA 10 VOL 100ML ,3.51,4,RIOQUIMICA
27137,AGUA OXIGENADA 10 VOL CREM 90 ML,2.85,4,FARMAX
22075,AGUA OXIGENADA 10VL  SPRAY 100ML,6.0,4,FARMAX
1807,AGUA OXIGENADA 10VL 100ML FARMAX,2.98,4,FARMAX
2143,AGUA OXIGENADA 10VL 1L FARMAX,12.0,4,FARMAX
22074,AGUA OXIGENADA 10VL 1L RIOQ,10.0,4,RIOQUIMICA
5113,AGUA OXIGENADA 20VL 90ML FARMAX,2.05,49,FARMAX
1670,AGUA OXIGENADA 30VL 70ML FARMAX,2.88,4,FARMAX
7009,AGUA OXIGENADA 40VL 90ML FARMAX,3.7,4,FARMAX
22836,AGUA OXIGENADA30 VOL 90ML,3.5,4,FARMAX
6259,AGULHA 25 X 8 DPK,0.25,49,DESCARPACK
32105,AGULHA CANETA INSULINA 31G 25X 6MM,1.0,0,DIVERSAS
23082,"AGULHA DESC 25X0,70 C/100",0.25,49,DESCARPACK
2728,AGULHA DESC 30X7  DPK,0.25,49,DIVERSAS
32104,AGULHA PARA CANETA DE INSULINA 5MM C/100 - MEDLEVE,1.0,0,DIVERSAS
19689,AIDE 3 20ML,108.05,49,DIVERSAS
