sku;name;quantity;price
SEM GTIN;.BICAMA CHENILE ECOTEC FOFAO;2;654,1
SEM GTIN;.BICHINHOS BANHO MAR 122;11;8,64
SEM GTIN;.BLUSA REG. POWER LIPO MODELADORA;24;117,09
SEM GTIN;.BOLA CRAVO 2755;1;2,82
7908281301911;.BOLA DECOR  NATAL 70001;2;19,29
7908161737175;.BOLA NATAL C/12;1;21
7908281300105;.BOLA NATAL C/12 7006;3;16,05
7908281356850;.BOLA NATAL C/16;2;69,64
;.BOLA NATAL C/2 60064;3;14,75
7898642536864;.BOLA NATAL C/20 85201;4;50,88
7908281346011;.BOLA NATAL C/6 1804C;1;21
7908161707697;.BOLA NATAL C/6 5101;2;24,06
7908161707963;.BOLA NATAL C/6 5601;2;24,05
7908161708182;.BOLA NATAL C/8 60061;1;17,37
7908161701015;.BOLA NATAL C/9 1803;2;21
7898125112875;.BOLA PINGO DE COBRINHA 287;8;6,8
SEM GTIN;.BOLA PINGO DE LEITE;3;8,59
7897252260114;.BOLICHE 6011;1;28,71
SEM GTIN;.BOLSA COURO HVS SINCE2003;2;62,81
7898718240558;.BOLSA DE VIAGEM 8558;1;105
;.BOLSA DE VIAGEM F5119;1;118,83
7890251120243;.BOLSA DUKE MODADK251;3;115,42
7908629702141;.BOLSA LONA JIAKAILE 70/35/21;3;59,65
SEM GTIN;.BOLSA LONA P;8;38,84
7898505894254;.BOLSA LONA SPORT XILIE 70/30;3;74,95
SEM GTIN;.BOLSA LONA VIAGEM G;1;60,44
SEM GTIN;.BOLSA LONA VIAGEM M;8;56,94
6990198107749;.BOLSA MATERNIDADE 10774;3;76,34
6990198107763;.BOLSA MATERNIDADE 10776;1;76,34
7898631554664;.BOLSA TCHUCO 77 PCS BLOCOS 244;1;62,53
6935231609507;.BOMBONIERE PI60950/160951;1;28,93
7898924464267;.BONE C/ ABA RETA FURIA;1;21,76
6943443610969;.BONE CAUTRY;1;38,62
SEM GTIN;.BONE COUNTRY 74-99;2;35,03
7899593439365;.BONE MINAS ATACADO ;15;32,21
7908629706132;.BONE NEW YORK 94-99;6;33,59
SEM GTIN;.BONE ORIGINAL CAP;2;16,45
7899866222779;.BONECA BELLA FASHION 28142;2;10,68
7898283851111;.BONECA JUDY 62 FRASES 111;1;78,76
7898639380517;.BONECO BOY MY LITTLE 8051;1;109,88
SEM GTIN;.BUFFET VALDEMOVEIS PAMPULHA;3;687,77
7898002434656;.BUZAO 465;1;33,58
SEM GTIN;.CABECEIRA CAS. L & A ESTOF. CORDOBA 140;3;342,26
SEM GTIN;.CABECEIRA CAS. L & A ESTOF. CORDOBA 160;5;358,36
SEM GTIN;.CABECEIRA CAS. L & A ESTOF. CORDOBA 200;6;428,44
SEM GTIN;.CABECEIRA CAS. L & A ESTOF. LUANDA 1,40;2;432,22
SEM GTIN;.CABECEIRA CAS. L & A ESTOF. LUANDA 1,60;2;457,76
SEM GTIN;.CABECEIRA CAS. L & A ESTOF. LUANDA 2,00;2;558,34
SEM GTIN;.CABECEIRA SOLT L & A ESTOF. CORDOBA 090;3;297,45
SEM GTIN;.CABECEIRA SOLT L & A ESTOF. LUANDA 0,90;2;378,24
SEM GTIN;.CABIDEIRO MANCEBO CO8425863;1;118,58
;.CABIDEIRO TUBULAR NORDESTE;2;151,31
8006003599000;.CABO P/ CELULAR USB CONECT V8;1;25,95
SEM GTIN;.CADEIRA BEST GAMER G500A;1;1.103,16
SEM GTIN;.CADEIRA GIR. BEST PRESIDENTE C300;2;1.154,50
SEM GTIN;.CADEIRA GIR. BEST PRESIDENTE C304;5;1.190,01
;.CADEIRA GIR. C/BRACO TRILIDERANCA 177;1;510,94
SEM GTIN;.CADEIRA INF. PLAST. ANTARES DECORADA;15;28,24
SEM GTIN;.CADEIRA TUB. TRILIDERANCA FIXA 3/4 194;5;148,12
SEM GTIN;.CADEIRA TUB. TRILIDERANCA FIXA 7/8 210;5;185,1
;.CADEIRA TUB. TRILIDERANCA GIR. IRIS 261;4;371,73
SEM GTIN;.CAFEZINHO VALDEMOVEIS MANTIQUEIRA;1;649,56
;.CALCA UNIFORME ESCOLAR MI;9;60
;.CALCA UNIFORME ESCOLAR MJ;8;65
7899790928259;.CALCUL. ALFACELL AL3860A;1;25,25
7899454442237;.CALCUL. MAXMIDIA MAX-268A;2;15,15
SEM GTIN;.CAMA CAS. EUCALIPTO;1;458,98
SEM GTIN;.CAMA SOLT. EUCALIPTO;5;405,84
SEM GTIN;.CAMA SOLT. SUC. SABRINA MONARCA ;4;686,45
7899653721140;.CAMINHAO CACAMBA FRICCAO EL9791003;2;21,29
7896965214308;.CAMINHAO GUINCHO 1430;1;47,31
;.CAMISETA UNIFORME ESCOLAR MA;11;54
;.CAMISETA UNIFORME ESCOLAR MI;15;45
;.CAMISETA UNIFORME ESCOLAR MJ;13;49
;.CAMISETA UNIFORME ESCOLAR PA;10;52
7898268657387;.CANECA PORCELANA SORTIDAS 2424, 349;1;26,92
7899790936810;.CANECA VIDRO PAI 16112, 70007;3;14,57
SEM GTIN;.CAPA P/ CELULARES;19;22,41
7897924003094;.CAPA P/ COLC. CAS. IMPE. PLAST 100430;6;92,18
7897924099790;.CAPA P/ COLC. SOLT. IMPE. PLAST 9979;4;74,04
7897924079105;.CAPA P/ LAVADORA PLAS-NOVA 10366;6;46,01
7897924076210;.CAPA P/ LAVADORA PLAS-NOVA 12K/15K;7;49,31
7897924002165;.CAPA P/ LAVADORA PLAS-NOVA 16K/17K;2;47,83
SEM GTIN;.CAPA P/ LAVADORA PLAS-NOVA 5927, 5320;6;47,66
7897924000758;.CAPA P/ LAVADORA PLAS-NOVA 5927,5320,75;3;44,35
7897924076654;.CAPA P/ LAVADORA PLAS-NOVA 7K/11K;3;49,31
7898963243632;.CAPA P/ SOFA CANTO BELCAPAS;2;239,67
;.CARREG. P/ CELULAR VEICULAR ATOMO 004;30;8,72
7898631554787;.CARRINHO BONECA CONFORT BABY 248;4;63,01
7899653740875;.CARRINHO MICKEY 213;2;16,18
7898096081118;.CARRINHO PICK-UP MAC 110, 111;16;27,86
7890797730166;.CART. COURO PERLATTO 1001;12;40,1
;.CASCATA 120 LAMPADAS LED ESTRELAS 1120;6;55,04
7898631556873;.CASTELO MEDIEVAL 461;1;110,27
;.CAVALO MECANISMO SOUND 537;1;64,22
7898549367998;.CEREJEIRA DECORATIVA 0,45M 4560Q;1;96,48
7898933918034;.CESTO TELADO RATTAN 72 LTS;3;86,26
;.CHAPA FRITADEIRA DISCO NORDESTE 29CM;1;136,18
7898162211401;.CHIP VIVO;16;17
SEM GTIN;.CINTO MASC. CAC COUROS 029;5;53,47
SEM GTIN;.CINTO MASC. CAC COUROS 040;6;53,47
SEM GTIN;.CINTO MASC. CAC COUROS 529;4;57,82
SEM GTIN;.CINTO MASC. CAC COUROS 638;1;28,84
SEM GTIN;.CINTO MASC. CAC COUROS 741;1;31,73
SEM GTIN;.CINTO MASC. CAC COUROS 780;1;36,08
SEM GTIN;.COBRE LEITO SOLT. DYLERE 160/240;1;128,65
SEM GTIN;.COLC. BERCO D18 70/1.50 ECOTEC;2;143,1
SEM GTIN;.COLC. CAS. D23 14CM ECOTEC FRIZE;1;487,32
SEM GTIN;.COLC. CAS. D33 17CM 1.38 ECOTEC GOLD;3;747,3
SEM GTIN;.COLC. CAS. D33 17CM ECOTEC GOLD;1;731,4
SEM GTIN;.COLC. SOLT. D23 14CM 88 ECOTEC FRIZE;2;310,55
SEM GTIN;.COLC. SOLT. D33 25CM 88 ECOTEC GOLD;1;700,73
SEM GTIN;.COLC. SOLT. ECOTEC CONFO UNIBOX 52CM 88;1;597,21
7893596055461;.COLCHA SOLT. BELAREAL PALACE PRINTS;1;139,15
7898518120036;.COLHER DE MESA OURO DP0084;4;5,66
SEM GTIN;.COMODA SAP. IMOP 4G DUBAI;1;599,11
;.COMODA TIGUS 4G FLY;1;581,49
SEM GTIN;.COMODA TIGUS 4G LIFE;2;581,49
7898521378776;.CONFEITARIA DIVERTIDA SWEET CAKE 7969;1;79,44
SEM GTIN;.CONTROLE RECEP. VIVENSIS SENIOR;6;42,4
7898564783278;.CORACAO FLU FLU 0008,0004;4;55,09
7897924052825;.CORT. 138/178 BOX SLIN PLAST-N. 5282;1;21,27
7891713003319;.CORT. 200/120 BENEVIDES 331;1;155,98
7898552867799;.CORT. 200/120 P/ COZINHA MENEGATTI 333;1;111,83
7897924039024;.CORT. 200/160 PLAST-N. CORTA LUZ 100619;1;103,72
7894674103654;.CORT. 250/1800 JACQUARD BLACTEC ;3;154,39
7897924064354;.CORT. 268/260 BLOCK-LIGHT PLAST-N. 6435;1;250,1
7897924093637;.CORT. 270/200 B. OUT PLAST-N. 3926;4;92,18
7897924086004;.CORT. 270/200 B. OUT PLAST-N. 8600;4;172,98
7897924033787;.CORT. 270/240 B. OUT PLAST-N. 3378;1;125,11
7897924032285;.CORT. 270/240 BLOCK-LIGHT PLAST-N. 3228;1;143,24
7897924039475;.CORT. 270/260 BLOCK-LIGHT PLAST-N. 3947;3;111,97
7897924006644;.CORT. 280/180 B. OUT C/POL.PLAST-N. 662;2;131,74
7897924072038;.CORT. 280/180 B. OUT PLAST-N. 7203;1;130,22
7897924034562;.CORT. 280/180 BLOCK-LIGHT PLAST-N. 3456;1;130,26
7897924034913;.CORT. 280/180 TECIDO PLAST. N. 3491;4;97,13
7897924034968;.CORT. 280/200 B. OUT PLAST-N. 3496;1;105,37
7897924034937;.CORT. 280/200 TECIDO PLAST-N. 3493;1;105,37
7897924034944;.CORT. 280/200 TECIDO PLAST. N. 3494;3;105,37
7897924039291;.CORT. 280/220 MICROFIBRA PLAST-N. 3929;2;183,68
7897924034999;.CORT. 280/220 TECIDO PLAST-N. 3499;1;122,31
7897924019941;.CORT. 400/240 B. OUT PLAST-N. 1994/2090;2;269,38
7897924051644;.CORT. 400/240 B. OUT PLAST-N. 5164;3;303,25
7897924066402;.CORT. 400/240 B. OUT PLAST-N. 6640;2;164,67
7897924006118;.CORT. 400/280 B. OUT LINHO PLAST-N. 611;1;194,42
7897924010153;.CORT. 400/280 B. OUT LINHO PLAST-N. 949;2;369,21
7897924072588;.CORT. PIA PVC PLAST-N. 7258;1;24,57
7898002434953;.DIDATICA LION 495;3;42,24
7898447972959;.DINO PARK BABY 295;4;33,78
;.DINO RACE LOOPING 380-5;1;67,6
7898096081125;.DIVPLAST SMART BABIES 112;2;50,69
7897474129336;.ENFEITE CACHORO 2933;2;34,04
7908281352968;.ENFEITE DE NATAL ARVORE 49002;6;22,01
7898642535980;.ENFEITE DE NATAL BENGALA 1506;4;7,23
7898642537700;.ENFEITE DE NATAL CORACAO 15051;1;9,66
SEM GTIN;.ENFEITE DE NATAL ESRELA 30101;6;9,73
7908161743732;.ENFEITE DE NATAL ESRELA 7028;1;11,76
7899755622123;.ENFEITE DE NATAL ESTRELA 10366;6;24,22
7898549341103;.ENFEITE DE NATAL ESTRELA 1043;1;8,79
7908161742452;.ENFEITE DE NATAL LACO 11001;5;3,87
7898642535614;.ENFEITE DE NATAL LACO 12501;3;6,8
SEM GTIN;.ENFEITE DE NATAL LOUSA 4021;1;22,19
7899755661726;.ENFEITE DE NATAL MISTURADO 7010;1;17,8
7899755660514;.ENFEITE DE NATAL PAPAI NOEL 1467;3;6,68
7899755602392;.ENFEITE DE NATAL SINO 1134;2;33,1
7899755660279;.ENFEITE DE NATAL SINO 1443;1;16,47
7899755683339;.ENFEITE DE NATAL SINO 5042;1;6,33
7899755660552;.ENFEITE DE NATAL TAMBOR 1471;1;6,76
7908174918332;.ENFEITE DECORATIVO 63379;1;34,04
7908174927419;.ENFEITE DECORATIVO MAO 80764;2;34,04
7898549337656;.ENFEITE NATAL ARVORE NTF4701;4;10,69
7899755661665;.ENFEITE NATAL SORTIDOS 7008;10;16,05
7899755661795;.ENFEITE NATAL SORTIDOS 7017;3;7,94
7908161741943;.ENFEITE PINHA NEVADA 9PC 10002;5;8,91
7898948020951;.ESPADA ESCUDO HEROIS ;1;19,82
7898337049150;.ESPELHO 160/60 NORDESTE;9;245,21
7898337049679;.ESPELHO 94/44 NORDESTE;5;105,95
7899790929263;.ESPELHO C/ ALCA PU 61CM 45037;3;196,77
7898337041963;.ESPELHO OITAVADO NORDESTE 60CM;2;151,31
SEM GTIN;.EST./HOME JB 5232;1;932,85
SEM GTIN;.ESTOJO ESCOLAR DUPLO;10;19,22
SEM GTIN;.ESTOJO ESCOLAR DUPLO PERSONAGES;4;19,22
;.ESTOJO ESCOLAR PERSONAGENS 5102-15;26;7,81
7898505905684;.FACA AUREL DE PAO 9007;1;7,57
7908161747594;.FACA DO CHEF  WINCY IXB03145;3;36,52
7898505905707;.FACA INOX DE MESA 9009;1;2,79
6908471340387;.FACA KNIFE 038;8;10,15
6933518104653;.FACA KRIAT 10465;1;10,15
7898549338226;.FESTAO METALIZADO 1002;65;10,55
7908161709882;.FESTAO METALIZADO 18109;30;14,03
7908161709738;.FESTAO METALIZADO COLORIDO 10024;16;3,59
SEM GTIN;.FESTAO METALIZADO JLT-11-5VD;31;3,38
;.FESTAO VERDE GRAMA 10887;35;3,91
7898539434235;.FIRE RESGATE AKT3423;1;18,4
7898064921088;.FOGUETE APOLLO ANJO 743;2;59,15
7908214707636;.FRIGIDEIRA C/ LEGUMES 3070;3;10,73
7898616540194;.FRONHA TRAV. CORPO 180 FIOS;12;35,12
7899755694786;.FRUT. WINCY 9047;4;32,25
7908136343974;.G CHUVA ELS01650;1;57,68
7898879834078;.G. CHUVA 70CM AJ-3407;10;41,9
7898505871941;.G. CHUVA AUTOMATICO 9075G;4;40,38
7908256505696;.G. CHUVA CABO AUTOMATICO 1241;15;28,82
7908629701663;.G. CHUVA COMPRIDO 21042023;3;42,69
7908256505665;.G. CHUVA MINI 1300;10;21,73
SEM GTIN;.G. ROUPA 3P N. HORIZONTE DIAMOND;3;2.738,54
SEM GTIN;.G. ROUPA 3P TIGUS LIFE;2;858,74
;.G. ROUPA 4P TIGUS FLY;1;910,23
;.G. ROUPA 4P VALDEMOVEIS QUERO QUERO;5;777,93
SEM GTIN;.G. ROUPA 5P IMOP CAPELINHA;2;1.212,66
SEM GTIN;.G. ROUPA 6P IMOP PORTUGAL;1;1.052,99
SEM GTIN;.G. ROUPA 6P IMOP SEVILHA ;1;1.656,02
SEM GTIN;.G. ROUPA 6P N. HORIZONTE ROBUST ;1;2.529,33
SEM GTIN;.G. ROUPA 8P IMOP MILANO;2;1.775,95
7898505903369;.GARFO INOX 33CM JB16065;12;4,93
7899110647631;.GARFO LAUREL IWOODEN 647631;6;4,05
7896042081335;.GARRAFA MIRACULUS 8133;28;5,02
7896020697671;.GARRAFA TERM. 750ML MOR FRESH;9;34,31
7998096080111;.GIRA GIRA INF. 011;1;12,57
7898549338103;.GORRO PAPAI NOEL 1001;4;2,53
;.GORRO PAPAI NOEL 1002;5;5,87
7898549338042;.GORRO PAPAI NOEL 1003;3;7,63
;.GRATIDAO 8732;6;20,91
7899755621683;.GUIRLANDA 10261;1;19,64
7898642537366;.GUIRLANDA 63050;3;98,74
7898521375713;.JANTAZINHO PRINCESSA 7690;1;47,24
7908281319817;.JARRA WINCY 11035/36/37;1;79,15
7898948217986;.JOGO BACIA 4PCS NORDESTE 347;2;18,56
SEM GTIN;.JOGO BANHEIRO 3P SOFT FEEL;1;71,1
9400000000948;.JOGO CANECO NORDESTE C/ 3;3;75,64
7898958261498;.JOGO DAMA TRILHA 330S;2;10,16
7899110641110;.JOGO FACAS FRATELLI 4PCS10535;1;34,93
7898359170214;.JOGO IMOBILIARIO 81958;1;6,27
7908486132181;.JOGO PAN. NORDESTE 5PCS CEREAMICA 556-1;3;590,2
7898576059286;.JOGO POTE MULTIUSO 5PCS NORDESTE ;3;60,51
7899747129388;.JOGO TAP. MULTI KIT COZINHA C/3 ANDINO ;1;195,84
606529874681;.JOGO TAP. P/ COZINHA C/3;1;154,98
7908630219447;.JOGO XICARA P/ CHA ITALIA 6/PCS;4;75,64
7898968918283;.JOGO XICARA P/CHA CAIXA MADEIRA ;5;105,91
SEM GTIN;.KIT 10P VALDEMOVEIS PETRA ;1;1.390,81
SEM GTIN;.KIT 12P VALDEMOVEIS AGATA;2;1.487,08
SEM GTIN;.KIT 4P IMOP SOFIA TOP ;1;729,31
SEM GTIN;.KIT 5P VALDEMOVEIS AMETISTA;3;772,85
SEM GTIN;.KIT 5P VALDEMOVEIS DIAMANTE;2;1.112,37
SEM GTIN;.KIT 5P VALDEMOVEIS RUBI;1;854,25
SEM GTIN;.KIT 6P VALDEMOVEIS GRANADA;3;941,82
SEM GTIN;.KIT 7P VALDEMOVEIS MONTE REY;1;1.145,16
SEM GTIN;.KIT ALMOFADA NORDESTE C/5 SORTIDA;6;151,31
SEM GTIN;.KIT ASSENTO E ENCOSTO TRILIDERANCA 610;4;91,01
7908124251878;.KIT CASINHA DOCE LAR JRO483;1;40
7898008428918;.KIT CHURRASCO FRATELLI CO8428918;2;52,82
7899949081422;.KIT COZINHA 015;2;23,46
7897252230834;.KIT FOGAO E PANELAS 3083;2;27,35
7898521377946;.KIT FOGAO PRINCESA BLISTER 7888;4;28,71
7898639381279;.KIT FRALDINHA MY LITTLE 8127;2;26,76
SEM GTIN;.KIT GAMER VIVENSIS;6;153,08
7898521379889;.KIT LAVA ROUPA LAVA LOUCAS 8094;1;50,69
7898959522260;.KIT LIXEIRA C/PEDAL 4PCS 14L;3;42,87
7899949055973;.KIT MINI RAQUETES DY-641;2;28,92
7899653750416;.KIT MINI RAQUETES E CORDA DY-424;1;19,82
SEM GTIN;.KIT ORGANIZADOR ESMERALDA 4PCS 776;1;57,3
SEM GTIN;.KIT PANELAS ALUMINIO 740;1;94,44
7898927356866;.KIT PAPINHA DO BEBE 686;2;21,95
7898549347402;.KIT VINHO GARRAFA 3PCS 202;4;76,12
7897013586231;.LAMPADA DE LED ELGIN 9W ;1;4,49
SEM GTIN;.LAVAD. NEWMAQ 10K;11;577,47
SEM GTIN;.LAVAD. NEWMAQ 20.5K ;10;643,65
7898911071010;.LIXEIRA PLASUTIL C/ PEDAL 15L;1;30,95
SEM GTIN;.LNBF DUPLO VIVENSIS ;11;43,03
SEM GTIN;.LONGARINA 3 LUG. TRILLIDER. ENC. DUPLO;2;504,75
SEM GTIN;.LONGARINA 3 LUG. TRILLIDER. IRIS;2;452,74
SEM GTIN;.LONGARINA 4 LUG. TRILLIDER. ENC. DUPLO;2;643,94
SEM GTIN;.LONGARINA 4 LUG. TRILLIDER. IRIS;2;573,59
7908161735980;.LUVA REDSTAR VSI04001;1;12,09
7908136330295;.MARTELO ANIMAIS WOARD 726;1;23,89
7898639381170;.MASHA E O URSO 8117;1;148,11
6936773100057;.MEIA CALCA FISHNET PANTYHOSE 1753;1;15,8
4046504230624;.MEIA CALCA INF. DOTAD WZ6067;4;23,63
4046504230600;.MEIA CALCA INF. LIRS FIO 80 6065;5;17,25
4760072301240;.MEIA CALCA LI TING FIO 80 1168;10;33,19
SEM GTIN;.MESA 4C GRAN. SOMA LAVINEA 070;1;902,73
SEM GTIN;.MESA 4C GRANITADA SOMA DANY 70/70;1;532,15
SEM GTIN;.MESA 4C RED. GRANITADA BM BERLIN;1;658,97
SEM GTIN;.MESA 6C GRAN. SOMA TUB. IRIS;1;989,89
SEM GTIN;.MESA 8C GRAN. SOMA LAVINEA 071;1;1.424,20
SEM GTIN;.MESA DE CABECEIRA N. HORIZONTE DECA;1;254,94
SEM GTIN;.MESA DE CENTRO  VALDEMOVEIS VENEZA;2;425,47
SEM GTIN;.MESA INF. PLAST. ANTARES DECORADA ;4;51,29
SEM GTIN;.MESA P/ COMPUT. VALDEMOVEIS BYTE;5;500,15
SEM GTIN;.MESA P/ COMPUT. VALDEMOVEIS OFFICE ;2;648,03
7898933918546;.MESA PLAST. NORDESTE RATTAN;1;196,77
7898964062041;.MESA PLAST. PREMIER MS01;7;114,56
7896464736226;.MICROPHONE BOYS PI3629;2;118,31
7899364810362;.MINI BOLSA INF. PRINCESAS BG39000;2;8,29
6954256545881;.MINI CLIMAT. DE AR COOLING FAN KH-1201;6;143,55
SEM GTIN;.MOCHILA ANTIFURTO;3;62,32
SEN GTIN;.MOCHILA AYAY 188-43;12;110,78
6983683831304;.MOCHILA C/ CARRINHO BATTLE MC4655;2;176,61
;.MOCHILA C/ CARRINHO CANDY GIRL MC4605;3;176,61
SEM GTIN;.MOCHILA C/ CARRINHO JOANINHA MC4720;2;146,89
6983683831403;.MOCHILA C/ CARRINHO KARS KIDS MC4665;3;192,25
;.MOCHILA C/ CARRINHO NINJA MC4685;3;192,25
6983683831786;.MOCHILA C/ CARRINHO PLAYER MC4703;1;192,25
SEM GTIN;.MOCHILA CABO DE ACO USB FF-611G;1;68,44
6983683830772;.MOCHILA CANDY GIRL 4602;2;93,7
SEM GTIN;.MOCHILA COURO CABO DE ACO USB;1;120,86
SEM GTIN;.MOCHILA COURO REFXL 9008;2;113,69
7899310515860;.MOCHILA DENLEX DL1586;2;66,32
;.MOCHILA DL1216;1;51,46
7899310516171;.MOCHILA DL1617;1;106,22
7899310513828;.MOCHILA DLX TUNING DL1382;2;93,7
7810133011650;.MOCHILA DONGYE 1165;13;110,78
SEM GETIN;.MOCHILA FEM. PEQUENA 5917;1;90,27
;.MOCHILA GATINHO ;1;74,08
7899310515921;.MOCHILA GOOD VIBES DL1592;1;100,73
SEM GTIN;.MOCHILA HONGYAN 666-2;1;62,98
7899310514955;.MOCHILA INF. ARANHA D1495;1;85,97
7899310513675;.MOCHILA INF. ARANHA DL1367;2;81,19
7899310515006;.MOCHILA INF. ARANHA DL1500;1;85,88
7899310515013;.MOCHILA INF. ARANHA DL1501;1;96,82
6983683831250;.MOCHILA INF. BATLE M4650;1;90,11
6983683831274;.MOCHILA INF. BATTLE M4652;1;97,61
6983683833919;.MOCHILA INF. BELIEVE M4740;3;101,52
6983683826515;.MOCHILA INF. BLOOK GAME M4182;2;95,27
6983683830758;.MOCHILA INF. CANDY GIL M4600;1;89,01
7899310513910;.MOCHILA INF. DINOSSAURO DL1391;2;93,7
7899310515136;.MOCHILA INF. DINOSSAURO DL1513;1;78,06
7899310514436;.MOCHILA INF. DL1443;4;80,42
7899310514689;.MOCHILA INF. DL1468;1;100,74
7899310514337;.MOCHILA INF. FOLLOW DL1433;2;84,31
;.MOCHILA INF. GAME BOY DL1523;2;96,82
7899310515174;.MOCHILA INF. GAMECRAFT DL1517;2;78,16
;.MOCHILA INF. GAMECRAFT DL1518;2;90,73
7899310515051;.MOCHILA INF. HERO DL1506;4;84,31
SEM GTIN;.MOCHILA INF. JOANINHA 4719;2;89,01
7899310514634;.MOCHILA INF. MERMAIA DL1463;1;90,57
;.MOCHILA INF. MERMAIA DL1464;2;100,73
7899310514870;.MOCHILA INF. MONSTER DL1487;2;85,88
;.MOCHILA INF. MONSTER XTREME DL1488;2;93,7
;.MOCHILA INF. MULHER MARAVILHA M4710;2;107,78
6983683831557;.MOCHILA INF. NINJA M4680;2;92,14
6983683831564;.MOCHILA INF. NINJA M4681;1;93,7
6983683831571;.MOCHILA INF. NINJA M4682;1;98,39
7899310514771;.MOCHILA INF. OOPS DL1477;2;78,15
7820220821086;.MOCHILA INF. PERSONAGENS ;2;137,28
SEM GTIN;.MOCHILA INF. PERSONAGENS 1631;6;121,13
6983683831731;.MOCHILA INF. PLAYER M4698;3;92,14
;.MOCHILA INF. PRINCESA DL1458;4;86,35
6983683831076;.MOCHILA INF. PRINCESA M4632;3;95,26
6983683833278;.MOCHILA INF. PRINCESA M4716;2;92,13
7820220828726;.MOCHILA INF. ROSTINHO LY-803;3;40,26
7899310515273;.MOCHILA INF. SPEED DL1527;1;96,83
7899310515280;.MOCHILA INF. SPEED DL1528;1;106,31
6983683826249;.MOCHILA INF. SUPERKIDS M4155;1;82,75
;.MOCHILA INF. UNICORNIO DL1318;1;96,36
7899310513323;.MOCHILA INF. UNICORNIO DL1332;2;86,97
7899310514283;.MOCHILA INF. UNICORNIO DL1428;4;98,39
7899310514382;.MOCHILA INF. UNICORNIO DL1438;2;84,41
7899310515648;.MOCHILA INF. VAMPIRINHA DL1564;1;100,74
7908683903676;.MOCHILA INF.SHOW DA LUNA YS42268;1;117,16
SEM GTIN;.MOCHILA JINGPIN SPORT;2;105,54
7899310515457;.MOCHILA JT1545;1;106,21
7899600503515;.MOCHILA K402;1;89
SEM GTIN;.MOCHILA KIMTINO 188;1;127,59
SEM GTIN;.MOCHILA KIMTINO 2010;2;137,28
SEM GTIN;.MOCHILA KIMTINO USB 19-06;3;136,13
7898458570649;.MOCHILA KL454;3;89
7899310515938;.MOCHILA LOVE DL1539;1;106,22
SEM GTIN;.MOCHILA LUNA KISS MF80009;1;109,48
6983683833698;.MOCHILA M4735;1;187,56
SEM GTIN;.MOCHILA MONCYAN;8;105,54
7899310515372;.MOCHILA OOPS DL1537;3;78,15
SEM GTIN;.MOCHILA P/ NOTEBOOK;1;84,15
7899310514597;.MOCHILA PRINCESA DL1459;2;91,5
SEM GTIN;.MOCHILA RUIGESHI;3;110,12
SEM GTIN;.MOSQUIT. CAS. TETO NORDESTE BORDADO;20;94,25
SEM GTIN;.MOSQUIT. CAS. TETO NORDESTE RENDA;14;62,3
5702051052056;.MURAL FOTOS BEBE 5205;3;51,7
7908153024214;.MURAL FOTOS GLITEN 73810;4;53,31
7898521375669;.NOSSO CHAZINHO ROSA 7685;2;32,09
SEM GTIN;.NOTEBOOK LENOVO 14IAU7 256G;2;3.524,44
SEM GTIN;.PAINEL CABECEIRA CAS. L & A ESTOF. 1,40;3;203,05
SEM GTIN;.PAINEL CABECEIRA CAS. L & A ESTOF. 1,60;1;202,03
SEM GTIN;.PAINEL CABECEIRA CAS. L & A ESTOF. 2,00;3;240,96
